nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,41037.739463106605,111436.11201500091,191064.10403661994,156945.596471322,164156.02957211438,229349.64310793357,298864.3882091078,322285.5739578834,307449.1365230819,283886.29234054097,268687.4055348006,260970.45327476575,251008.73441251984,231050.84764039773,200167.01469551452,162787.8728215504,124958.79446074051,91459.92765963355,64701.27844266518,44976.613352188455,14281063.007615408,6338552.03227937,5136753.72814682,1033756.8916750778,1511756.4100291205,1011902.3936513684,1394455.0045622014,1782671.0007878325,1385283.832561491,1230413.276297333
1,16,48,43115.647935191424,112276.89687488654,194078.0082085005,159239.23793891867,166434.42978444492,230507.39633828556,296379.19893789483,315016.5383969008,296295.7054529715,270605.7980177803,255170.8183492687,248926.05261174522,241576.24262875153,224579.28049801206,196343.87612767762,160959.08957953038,124417.83352469406,91615.03626666692,65133.458468856814,45431.44472596,14043794.441284321,6362591.516158047,5188284.008310894,1031682.4532287228,1524199.113955667,1048599.5626464663,1418490.1060717371,1840091.1188377691,1373062.3164520974,1096320.0810670257
2,32,64,45227.983062004765,110691.14650113987,189377.14269645882,155812.41736950792,163599.75826575997,226913.7342646251,292901.56573976914,313220.7965475039,296487.58696402126,272348.93103218725,258166.542770889,253004.8945220057,246415.17762687214,229679.8932361462,201201.15158140636,165210.9122340361,127896.09383272474,94319.56147594673,67171.33400466769,46954.11739314559,14032470.019193748,6260089.882588897,5091951.340367573,1039835.7708448812,1560903.0768592774,1130263.818258709,1449884.6637480126,1805500.9661414411,1353884.4891029634,1163274.564365775
3,48,80,41239.41314722546,111537.36478101862,189721.74192691562,154994.271639111,163470.83729138045,229351.12863384618,299797.70004958904,324940.58254842146,311796.9224642976,289836.1767957373,276866.7127887621,272059.80174187844,264799.37810232944,246341.3781690143,215349.45718166823,176492.3737655669,136389.62460282096,100406.41987987644,71366.21029493336,49766.30649533966,14124918.444777373,6283436.118855234,5134213.902820494,1036212.0026570988,1497294.1522720752,1051578.3578157432,1277720.3642606956,1464218.580005257,1140410.612254023,1086556.486738956
4,64,96,39192.87973736854,117007.36580714563,202672.08324250308,167603.7893050286,173712.05653245197,238467.93457524935,307466.8754878001,330855.67752373486,316440.4093048814,293980.7738386214,280976.35298583587,276153.66219164955,268644.699833643,249695.16821387227,218097.06978969532,178662.97712136764,138097.52945392387,101780.1524169542,72505.14481366708,50731.205441464605,14281906.805364858,6623031.562464909,5414094.004168785,1064082.840473672,1479626.192114306,1023831.4019393643,1194016.315218684,1383159.1600470294,1094631.942659201,996756.6802008441
5,80,112,40664.241532930435,118945.64343513323,208626.90221726123,175241.3014184248,182134.84490431694,247072.60318632965,315648.0477920459,337391.9851799054,320891.624122248,296772.7793322159,282710.59436870733,277298.24756419304,269503.39390471467,250444.1475150454,218831.24266721847,179421.27064724523,138872.24780208434,102531.76779341095,73186.64451413133,51310.29322154174,14755889.453614863,6854925.698649782,5522833.62398568,1070250.117134916,1488911.77740376,1032744.5822172672,1274597.7040760673,1622069.7048720175,1300272.50260288,1099556.249657898
6,96,128,39783.94246496543,114703.22323037808,199557.6635066718,165492.08454001092,176213.26520427392,244744.1141480931,314916.7379963349,336525.72704293346,319607.65036784543,295410.4829600767,281518.28487612825,276341.6805738724,268719.43384030485,249692.29555263786,217971.00054398537,178378.80983719247,137658.41682631726,101217.2591841395,71861.5102108973,50051.203485967475,14513955.276803844,6617582.510213621,5312848.168628174,1034406.1722841135,1471648.2389047106,998315.2444152182,1133187.4383416732,1435657.5058469854,1229223.4777434825,1141127.6694571318
7,112,144,39489.65538124552,112953.1026650569,193677.97129620652,158867.64460286888,169243.72790275115,236829.96409045722,305026.72958075465,325002.92223888193,306984.65010308544,281590.821436906,266191.9695435716,259615.27345456078,251322.11908181562,232717.81349517856,202458.59511502873,165022.81017415872,126730.10781613005,92638.09966972172,65335.31196875121,45189.37919448252,13647753.880145151,6347231.312334138,5203595.600851234,1039605.9513382107,1491349.2427772968,1020562.1746435352,1190250.656874379,1397117.9888805158,1016255.7004729481,961691.2547772612
8,128,160,40263.32527416432,113648.55633916645,193083.30725813616,158041.02705508948,165893.02113897578,231561.6319201042,301124.696222077,325074.14897324983,310740.2241665251,287346.40575756144,272523.5856362043,265737.7225681512,256870.07660715567,237503.00017510875,206351.18646724374,167944.7424075954,128691.55764966564,93752.38880069338,65791.65935463806,45200.7174771215,13620143.792201392,6308455.661455256,5217126.990371183,1073782.99726735,1525855.5559145466,1010792.259283223,1252378.2478720823,1582371.5261139842,1170978.946014564,1103049.7535548827
9,144,176,40642.7579249337,109726.69242498302,187737.73671079773,155187.46979247447,163532.27209335606,229613.7301100709,300618.6186256706,326726.67597363115,314592.15038855764,293033.18507299,279423.1681543283,273032.32570140524,263740.3720552021,243347.44366199544,210880.57304694282,171146.9856409254,130738.32482607978,94902.84507144162,66317.12789796133,45337.844740385284,14284438.05832459,6298770.446579495,5029410.524105904,1042668.7238592326,1535976.9294916946,1031180.2423748297,1256503.1698297386,1554991.498226618,1335972.136656849,1221389.4374927946
10,160,192,39048.23966616971,108992.18961711052,185827.19328211053,152534.06008659897,161119.67276479027,225890.37511535236,293758.09505933337,316554.4576530269,302307.53777306055,279883.3817668677,266167.4566661224,260228.11965554795,252044.87329975548,233469.84595124665,203331.94549101562,166054.91703370385,127844.24073823178,93702.51771602093,66240.85435103976,45888.41012532083,13617311.579347275,6161682.480222426,5005084.058590602,1020505.1206665769,1487400.2881469727,1040584.3191822108,1260504.922920778,1455597.1018325905,1188093.3102833184,1008050.66415783
11,176,208,38216.19708033198,112501.15470835373,190041.935034359,155226.05706924532,164653.08532025054,229740.03322034355,296590.8703181902,317420.3114196413,301262.8687528731,277599.55580679793,263427.7006808741,257730.6585345285,250314.60226450587,232780.31628346507,203684.7400956183,167241.38397013128,129553.21474984777,95624.66049862652,68136.95051823981,47612.85162782679,13086485.715732383,6194103.3094433,5176934.675531322,1038606.9961764537,1469976.4172487732,994299.9168917304,1131049.686202661,1451925.6158520635,1212631.6305255867,1068706.0204682646
12,192,224,39166.873715294845,109793.29431620585,188250.3967362392,156983.74165705958,167509.44614825305,233949.575643927,302657.7507916511,324029.20551482856,306610.046728035,280766.97557488084,264410.27189218794,256938.26737510785,248227.15623748195,229830.96134466428,200257.2373086779,163679.68866746934,126146.96902114215,92580.60691367715,65561.87521096485,45521.630490509604,13498037.289537681,6269607.024047153,5056260.1432849085,1024777.3663234462,1521564.2347129895,991219.8886941391,1097201.2436355795,1547030.6397671325,1420089.207280921,1278972.9282202665
13,208,240,38170.41214367923,109580.39071276764,189561.80566533012,158281.53333289066,167804.96801397656,234636.25461556917,304793.4979152454,327909.43305041373,311889.65759291005,286873.90907694487,270769.1136222418,262989.349862315,253463.86082664723,233903.39385917978,203054.08368024192,165320.06654911404,126895.05341195718,92737.9218562572,65386.481273959755,45192.89046083548,14006876.837594448,6371167.963940208,5061449.742105752,1013636.1944367936,1485195.4128101713,948495.1776495946,1100447.3084166069,1551102.536976048,1354141.8928308245,1200873.2968305582
14,224,256,39270.671335110485,112175.17267635145,192684.4977904293,157245.30872654525,164047.08407190905,226770.66780511345,292761.8039297159,314186.4117852696,299252.0973719601,276746.3835361848,263263.20631830447,257605.1711945853,249641.58355019632,231238.7477584887,201290.2708432103,164272.57848680503,126397.13354686507,92627.26680061151,65518.38898700601,45457.424984237,13496205.321232783,6292002.230101714,5191723.691671407,1019438.060139151,1501252.8914835157,1027220.7032828656,1124896.8529065754,1389603.8564894355,1149636.3744850715,1067010.0060845113
15,240,272,38946.528621264355,110426.8314051118,189412.7231345171,155117.52666159754,162771.826236263,226012.46670594107,291955.4931181062,312372.2753365137,296047.4090960474,272403.77181986644,258208.00665576573,252220.06625255506,244291.44854113823,226274.50859981636,196981.12044829238,160752.26550973373,123669.24336344386,90610.03142533613,64093.77840872801,44505.319669717835,13433592.613238418,6211277.537673298,5096102.0978294285,1021424.6321773174,1523776.2253138626,1000971.6655012178,1063359.8576176625,1329052.9350536487,1035410.8322098065,967158.8943067838
16,256,288,38051.8636284709,110730.05963056468,192017.10294820066,159201.48836454182,169086.94609504964,236798.40261708313,306298.73380176525,327277.36238980974,309337.6854070922,283542.78734377713,267632.7314038277,260506.8158327415,251690.209394949,232705.06324184602,202272.2156235832,164842.13383600608,126658.36091554239,92708.3389911381,65540.49313399155,45510.439519314554,14409762.271279732,6406537.70889015,5112092.899567617,1005747.3884507965,1461235.5318735344,926100.1695329953,1050074.8435636659,1466796.0400201671,1091904.1488549763,808768.6385384587
17,272,304,40673.89732572313,112888.60712118032,195151.85764855787,160274.3257180188,168668.69566822052,235053.04847597858,304419.077977706,326758.05334409577,310697.3337475784,286559.4827153871,271921.72810093587,265664.36495923507,257248.82465236064,238167.35364888565,207223.82475352805,169038.48955546733,130031.78619051061,95315.89136198424,67497.71878826462,46941.59011866374,14621717.203547107,6476280.2924947245,5205815.084237043,1030883.5218296462,1490172.9037686451,1017619.088014086,1227649.660435625,1560706.4926468066,1113012.227122889,830461.216501622
18,288,320,39395.277951285585,114698.08453089243,196543.49245244238,158974.51416177762,166976.2965192778,234126.55640023667,305331.4250618101,329589.5780701724,314656.5089318557,290830.133915999,275963.4798765979,269139.0531806962,259992.5519448276,240168.38288361992,208551.3044616405,169784.7747791748,130299.15927572479,95219.68458571592,67159.03315389021,46469.33918238991,14577913.647887012,6471837.450998038,5307448.96647212,1064480.178147434,1515423.0763142356,974371.4663118797,1091828.5696937593,1403563.3712926712,1135747.6661811855,1063114.3511889074
19,304,336,37731.67522191382,111231.3648904153,188625.54116238942,155282.19421002726,166060.1096760446,234500.18772506234,306462.33637659444,331255.0123393896,316780.0842445844,293253.4057162422,278382.59709092154,271220.32182356314,261514.03182163136,241077.9833084457,208925.21189159888,169748.47056337475,129971.7236197624,94696.9667785313,66519.18522396313,45780.79704671521,14407838.52912564,6349652.505362332,5134998.840439877,1048050.4360336692,1529451.855118827,961526.331762974,968768.018997,1356033.0099874393,1166818.53657164,1099039.5125133598
20,320,352,43373.658312177526,108438.17927530498,181930.82268719733,152851.16574211285,164497.5743998337,231128.1288884975,301198.4821963207,325595.59195718553,312149.25988776365,290228.8013338851,276929.20308160357,271075.54170395224,262345.6060353534,242540.78709515178,210716.271008633,171640.87906287605,131812.81561500754,96390.75519835994,68012.09054012752,47053.39711265762,14108707.274009526,6213806.433494496,4975936.336051676,1045063.5804973724,1569765.435193453,1115203.8486787104,1302543.8566864573,1882671.9586172602,1334611.670946439,1037449.3915027148
21,336,368,42322.53490407639,109959.96716309099,187252.43074634872,155661.91130345868,164767.88403240268,229336.92510950562,298016.7181206713,321753.91704457684,307905.5971545072,285636.6920358494,272289.6028426359,266935.91228374874,259179.38690835112,240507.77314632645,209667.92435989776,171274.27131390438,131824.79754096383,96558.24885007898,68202.14607306856,47198.7319189993,14332190.294369414,6295658.452686085,5058631.527843267,1024983.5725909761,1515868.0095305122,1043152.8262392413,1287276.9686445254,1795769.6135657786,1260937.27967238,990419.9181489001
22,352,384,39812.748859549916,110611.26649240858,191740.178574269,160923.57028967285,170596.0917648297,236550.92949712987,305057.7976255598,326376.9140701963,309132.4883878183,283389.16171747446,266752.48298995517,258547.93695351802,248770.71565285668,229216.60102886663,198661.2246029931,161459.19029837885,123697.8264281338,90219.83761363858,63475.55660792354,43772.20595657959,14598778.398359433,6506326.573768281,5097479.855958445,1033599.8705557961,1501791.0228573834,993180.4816405652,1195211.2172688465,1532883.8356958851,1178287.704460112,1141054.8140308007
23,368,400,37815.98494617588,113731.55123562437,195320.50945828354,161327.42163521762,172054.27631437642,240757.19249144976,311910.3892721424,334662.57627121976,317961.4026063041,292515.8624814369,276125.4210848044,267951.97586326714,257800.74424696696,237448.14069880184,205816.77605405645,167465.17864656687,128642.8588929647,94274.36352486894,66824.57973877907,46580.449154623544,14633003.358718833,6584713.70124365,5253265.876000881,1046018.5696561825,1445776.537011514,964263.6467032761,1063142.7005387687,1330044.4278958542,1151385.5215812863,1269438.8183168478
