nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,127044.43759240999,125151.5292680196,201819.13734151257,166014.89758260438,175678.6777368068,242507.57327630272,309388.57844589656,327308.5523960646,307371.87766401615,280700.4069959623,264764.75163350644,258321.9303807659,250646.95288661952,232898.32778826344,203486.54685919374,166698.48565506263,128757.24977610813,94726.47745775079,67272.84268087916,46867.17584374066,14719865.244065855,6633689.065767608,5535140.21230605,1468855.9503606092,2622287.454378729,2988015.439862411,7915170.304216743,10474950.60941073,5749464.613956802,3229148.2581634596
1,16,48,112059.64643777935,122631.64691133711,198172.84356454745,162965.39925460555,171314.57321518086,236171.87554177994,302702.9683925027,322471.9615268491,305184.5246452744,280927.6004096608,266888.1467118978,261738.5663287627,254666.32873296848,236823.2345452153,206765.29504996896,169036.77681856882,130124.0566067082,95272.8368048978,67225.054957894,46444.378520632046,14837197.697799735,6598153.175277867,5441518.0557437595,1415676.877357469,2415157.5268611796,2579136.065495684,7103864.673364504,10446766.92453099,6610732.330832141,4174591.1969853053
2,32,64,121140.84452507463,123381.82852054178,201926.7450039248,166915.0881383987,175141.05575181186,240170.85872712795,306463.78144327423,325694.05266557157,307753.3539681857,282767.58500559645,267756.9448274458,261341.93057128284,252935.3683104505,234017.79583633647,203358.05534343544,165525.18348875424,126891.68756804205,92536.36364325878,65048.91678345784,44788.48879976489,14360003.997950578,6636785.223698685,5494989.652288493,1421332.7755795824,2507319.167114001,2802553.880270873,8089945.204752623,11910128.023120722,7221639.068992988,4782764.591620311
3,48,80,121848.63766296401,125970.6992426665,204438.7240119387,166684.99034864726,174136.38475098915,237316.5844302752,300751.45852619765,317015.46195681026,296634.3502305943,269703.23119731824,253024.03393428016,245406.17473463982,236748.32268109126,218815.8097326343,190219.78175295983,155059.01186407192,119184.82114977404,87290.49722786802,61773.276413983556,42960.66392793097,13707915.95653672,6545030.087064219,5619455.102905448,1434396.2573730755,2578653.510359454,2853994.720555582,7733605.138367021,10629357.76371136,6237625.565033123,3800423.9192282916
4,64,96,131943.1742994724,130487.54727421301,216868.50391386144,179061.10653406655,184467.21134736863,249824.56611284649,317564.77604721166,337393.77434128476,318993.55056746874,292931.0157218366,276743.0817761764,269484.0269992823,260759.91190842682,241950.2549936625,211545.9321198273,173837.00297061756,135038.31146509654,100215.45455028162,72042.85150462358,50998.01793906391,14876095.68803501,7007827.493845549,5818114.206619937,1478793.9144208382,2760965.2313351543,3255333.486594956,7891597.759578828,10686415.910116771,6382854.657113069,3785855.0331926243
5,80,112,136562.13797180954,131384.0030601052,220477.60401892752,184722.58072372008,189521.5286593127,256395.8990038637,329673.9035818393,356248.71837987547,342955.0796583908,320150.1607768109,306172.9249400857,300214.83950576617,291408.5114446668,270779.7327001173,236964.94010183137,194823.56793049618,151295.93276135845,112077.7631397517,80237.72389706745,56393.250132982525,15604007.478533369,7281591.5752518885,5839268.525540955,1514547.953246937,2738720.9522712003,3351659.850537546,8456129.453095041,10907786.011863144,6146535.261579154,3967139.728726525
6,96,128,124292.28173404427,125965.88103625127,208011.89589198222,172748.43815193794,181089.04071517073,247334.48896738014,316945.4528494276,338994.3684312813,322070.0772838086,297045.3950047055,282011.1618350366,275901.0559697268,267783.2744374543,248671.49395140202,217092.6012850441,177663.92272642304,137012.47656581685,100543.0666395261,71122.08398404846,49271.5295092899,14988761.737401908,6872917.46575625,5619373.1305600805,1431269.7401972949,2549952.7637506565,3121155.0469626943,8107477.013119518,9775662.045911597,5220334.409571429,3457270.8396593495
7,112,144,130535.01335986223,122862.74856930596,201962.73467908718,166042.42712653324,175077.24123349861,241697.58134430644,309156.62729807943,327744.7034721664,307894.5860584463,280791.6312615184,264186.77319609094,257039.91401531317,248771.70521190282,230653.50704555263,201154.62598565704,164544.77144246566,126963.77039691384,93362.70635697596,66308.23745790347,46210.02810768709,14262443.045742642,6562175.919104095,5489419.192200772,1393484.7044874837,2573628.6373737147,3352766.083967225,9325015.048703289,11599403.042507485,6298219.06710848,3797881.3667142405
8,128,160,126760.55422451015,122363.3204981471,200496.6781401595,165516.24481555726,173408.82596027118,239816.49501891574,308727.71845562174,329616.8327017063,311843.3558584546,286311.1890913055,270817.9524691324,264230.8939458202,255837.74007810542,236940.65283204956,206232.120385982,168287.723655035,129506.89142309202,94981.3723350316,67298.15699011476,46810.70748193336,14279983.412374154,6559850.104117679,5445667.518475426,1391317.2747789915,2574558.745985031,3182128.1607236317,9043667.14580557,11006146.497298619,5459781.4561816,3011395.171090207
9,144,176,130823.96738686578,125729.4291604246,203532.62350527648,166750.32923855082,176792.46240576843,246099.6422930271,316348.81603366183,336635.833201577,317577.9781354119,290964.5541854905,274648.0272320938,267252.3042004542,257923.17375660455,238004.6863197242,206335.3392548033,167635.43350610984,128383.98066145349,93674.08447007378,66036.94137785982,45746.20425582867,14602607.679620398,6642014.126641275,5593479.3452714505,1417568.4947692503,2638728.1190256113,3313170.088332914,9251160.91034071,10929122.65517072,4867390.216176671,2477539.1092820703
