nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,36565.43402295024,110948.59511355871,188043.38737489676,154899.56450727134,162963.82390532072,226181.234124342,293255.11253399146,315464.0498584149,300232.71564825,276463.2490654665,261350.84902523668,254290.91695038037,245495.03995713036,226891.27413685655,197235.07705893973,160779.37013028018,123527.30768181563,90307.56016883648,63621.87283881278,43858.5047625395,13641914.00740943,6207703.088555439,5105387.213688446,999725.6614336026,1416375.1445866143,969089.4612140402,1039876.9494813919,1368201.3459269782,1086987.0663102511,821289.364255826
1,32,64,39893.215722847664,109690.62970197258,187519.23498280728,156049.80361557662,169008.59794124065,239737.5013014101,312299.89113462943,335533.9224057912,318496.45171324053,292539.23041092505,275953.4591378575,267960.8093496973,258151.3717867281,238043.3639996607,206408.34933181183,167800.1151426218,128567.51497888975,93766.60544516364,65964.65397204667,45493.05520622341,14607962.384996235,6330546.21773581,5048085.86675222,1024402.0506435301,1465250.141611005,1018368.0879016708,1147033.1174741185,1827928.3545094752,1438982.036127096,1075787.6773505544
2,64,96,39098.85714697541,117659.21267407695,207161.46094431964,175061.15163620497,184413.16099388595,252026.2692645212,323000.1600348228,346246.24189002335,330789.9996247052,307506.20302103664,293738.3469062849,287767.906684406,278646.093292428,257803.55197344144,224235.1804094165,182885.7328275496,140556.0368362331,102721.72951075483,72259.73188013327,49664.28131292758,15129183.064873623,6948010.680562336,5447502.014055396,1042917.4456360549,1465313.4392260737,1048186.9404058856,1119237.246160251,1651271.66227374,1235125.9386092152,913239.856955477
3,96,128,39009.5696007584,111263.18731524944,189762.1058416492,156285.82334048412,165337.17501432146,230169.0671680834,297730.5325268433,319542.52515976195,303896.5712353284,280221.3866023364,265708.078807829,259387.43668974805,251004.87281832157,232201.62869106064,201755.2794212256,164173.35814954198,125774.47300406973,91622.352738622,64317.458231092845,44229.84594305281,13904797.33578667,6289669.235721306,5118826.286449238,1033725.1631463107,1484883.5428629124,1018388.643752312,996911.9051319337,1359129.8029584754,1100267.8728431845,965334.6162083423
4,128,160,40898.2548266882,113391.71989736498,192586.20704520534,156392.20425149257,164138.54352324788,227941.9544819196,294689.33644842537,316053.1467849817,300816.1795457042,278554.1187782213,266144.88401292864,261978.9129228499,255157.61480411966,237000.24055146935,206358.00613131473,168045.24755503517,128713.57339628608,93663.33936480341,65611.64697744537,44956.30259206324,13392428.17193422,6227912.552676018,5240051.658085931,1012472.2528571356,1499459.4146413854,1073904.1995670476,1155410.2547475703,1659085.5056176553,1332294.0620455854,947521.1319806537
5,160,192,40343.51411353705,112195.65482990886,193055.5119154193,159320.43933363527,166692.5585447484,231171.75140710818,300494.6267480678,325390.67854931793,313157.85235501034,292305.7575773317,279195.9056739162,272504.14448348165,262380.1024534835,241282.92222760952,208681.4108773249,169404.98831988117,129786.86273803566,94763.58317027712,66798.616236144,46174.40462810299,14561771.651248438,6497422.54450511,5183236.350546248,1023443.4681715287,1529347.281773237,1082235.1166431513,1049770.4034922104,1228132.9859377227,990280.6530858872,837016.5434085075
6,192,224,37648.41912129723,117580.52115046934,200291.61133092485,158911.32153729402,164589.35251521072,229208.258408232,297751.64068073523,320785.20311713236,306220.047351621,283324.23363560694,269130.8840493397,262591.3312852922,253602.03385242194,234099.97289965508,203101.13177942112,165190.62163225646,126634.48529202683,92398.05984159767,65004.76833926398,44792.909570180826,13917406.657507218,6380644.901035647,5464853.745639503,1041300.3816845001,1424864.8748788382,983313.0047163463,1047584.3412860748,1469578.8781031836,1213752.5123125552,918501.4602947858
7,224,256,41728.594587070074,113172.10009819582,191714.41358519805,158442.62304752346,168668.464020726,235646.00269929937,304611.74430357304,325342.0344617746,306903.831097421,280333.2757422507,263869.2198595319,256942.71234972522,249241.42796400024,232007.08925963377,203442.40141540798,167521.2751199827,130229.58407954215,96540.31882714336,69149.29966152277,48613.12385326043,14057663.067212237,6325355.651118426,5212042.000142026,1050563.5389969104,1568367.5535176853,1058556.1669809637,1130246.5206097928,1665809.8665611884,1407383.6525305384,1210506.0961095155
8,256,288,36568.727535433776,113581.97124648653,196585.6319239605,163095.1654588947,171562.3780626902,236271.46687945217,301346.0240273922,317364.41082320065,295102.6227959179,265900.5446979752,247416.5582867943,238820.9562830823,230017.49381588414,212546.1144978966,184712.439641437,150354.23024801334,115167.20047101681,83795.65158474882,58658.11974581709,40128.65679060516,13544784.659695093,6414915.80002614,5267528.595801135,1019067.8222538809,1435081.464396064,945052.9953909573,1034353.3835081216,1577650.6983987573,1258490.782366513,1006721.3376482128
9,288,320,38990.867194695784,116075.50762390178,196077.79907827647,159045.20696791375,167496.32507890865,232564.60152239428,300621.0286274788,322786.38122945407,307304.0839655058,283803.70112723054,269754.4758819425,264248.1501138199,256783.20173726208,238649.0760016249,208407.60604543908,170559.21649826373,131553.5764379464,96622.67987339442,68509.3990048326,47680.08862019444,14121320.701438902,6381384.668614342,5376844.610445882,1049063.7606535854,1493734.9668239478,1068214.9319227603,1134165.0309406458,1537441.643792732,1215531.0424129404,982336.8095347706
10,320,352,37624.85518915228,113107.53449770715,195985.2414262505,160597.77350399736,169429.74695276524,236704.57367754373,307465.2862554942,330561.9957854981,313897.8880489794,288117.6853008712,271647.6967070592,264086.4445307285,255171.763879056,236258.41958496821,205806.3507907691,168111.94437883515,129420.40990067573,94821.78290223313,66986.56287680427,46356.497620017544,14059906.111056844,6401848.536521357,5261555.45750313,979716.9556101771,1443791.289259788,1052329.1123575533,1109489.236859095,1484683.7553361414,1089682.6367590388,841056.5738857887
11,352,384,39651.456915213625,113901.00645929197,199454.87528555354,163614.62563840873,171673.76336494408,240366.0172122194,314121.5946266152,340853.71829270205,327763.72878172155,304977.9465122813,290499.0075038716,283545.57555081835,273700.7406353505,252564.2714104266,219151.82514094765,178369.84497072225,136918.9269418001,100118.19155422192,70675.44123719558,48954.50860635698,14440830.335478045,6592951.470961484,5302797.423258938,1012442.3680644156,1537133.0570572333,1115876.038243612,1040213.1897362876,1323622.1170052646,1117774.4866665888,1085025.5392271096
12,384,416,38593.71265150254,112720.41910593936,194311.2474793073,161038.57384328506,169362.7064583638,234234.9289927521,302531.1537696583,324178.17035181203,307505.91432178044,282592.9086782935,266665.50353521726,258649.53164184216,248608.40092963216,228690.35657449055,197933.44895794793,160736.03049423438,123092.89620196041,89739.33979188089,63069.412680331145,43388.34682616407,13705525.558909437,6380219.498962488,5220637.846759227,1006877.9344355167,1473809.3293044209,1054054.2756502382,998300.5131950559,1303311.5043836054,1167417.683833142,1130542.1341594083
13,416,448,36195.38275750584,114366.38840872339,195138.23479571217,159619.65857539742,167468.41328498672,232749.98353408347,301662.5806400478,323702.64044759,306967.5723244456,281718.85909277503,265799.65515719337,258515.9243213824,249685.08945343408,230900.8388090894,200797.63023228096,163692.69577821525,125736.31048046565,91892.94354676582,64739.92364051311,44677.87962688004,14034654.418630874,6365753.70061275,5295219.004030337,1022879.1537369009,1470768.1608230304,1009919.9847624446,922344.507753402,1299660.4326712573,1046395.6312532711,873930.6087317786
14,448,480,39868.70665714113,114217.36678027001,194227.06007761997,157660.37201136904,164421.52347798183,228364.431767061,296232.83320810535,318411.2434872707,302770.9955137389,278659.28032708593,263373.8889634089,256262.1744275868,247421.19381101258,228648.94184415997,198640.03270623396,161696.1300864497,123937.81689022497,90304.81957482045,63354.489330227574,43471.178815194275,14099625.39500105,6353561.200482432,5288168.431564542,1034229.852378363,1516380.693985083,1033200.3492500195,1120978.5179555842,1426680.551743089,1081482.7429207633,873792.0074870505
