nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,34096.85543716218,108339.94269582797,180557.4469316154,146526.31999805247,154214.57131303256,213734.26865127526,275845.9519355671,295502.11975108576,280696.175537829,258825.22928893607,245507.00597434712,239458.6557037164,231112.91923605016,212975.29446027146,184231.0655734419,149237.89186846119,113845.66223476213,82617.44900406909,57804.14404017842,39629.419990761526,12738414.750604972,5856079.158072859,4987970.330421892,1011280.3925623526,1316851.6799315952,709255.60062336,962791.3258570746,1420394.452949403,1032858.8883701023,792570.9455536278
1,32,64,35723.29185953066,110389.78842231652,185953.6934939159,149493.80107527995,156076.04323238734,216116.63775785943,279123.93389829085,299234.7585773915,284270.8497418853,261854.4126183796,247964.15012789378,241553.64888599038,233083.48453998307,214958.94826301828,186243.4155868897,151214.10122136725,115697.4805371834,84275.95592929052,59238.27123923504,40844.75010201472,13214986.480024463,6008468.788479051,5075841.803235611,1019679.465788823,1374907.5955534698,800208.2184705695,1066475.0520652558,1622287.3746096701,1400556.9613572662,1134604.6410925158
2,64,96,38923.452972813604,112776.00657900365,197700.79769964542,167740.45537087935,174773.89817622898,239029.83863051285,308629.6834309309,334101.8100055489,322672.6258713096,303063.93315601494,292047.7346325711,288249.4002293677,280999.6665534102,261699.2368660114,229201.8063098541,188394.8280650922,146140.61078151094,108038.93408143711,77098.25670057631,53926.28551268683,14068043.801094007,6667116.8387965,5205349.417769583,1034775.0330482669,1375931.4620293775,809822.4074269128,1184683.3500085175,1861783.3993086484,1563517.395974215,1233382.0927042111
3,96,128,35410.27969054985,111903.84936646657,191048.50704215426,157498.52732493076,166222.8803070396,232838.90431479333,303229.2704372883,327234.2999163292,312589.75862021395,289084.0665265796,274375.5817454487,267644.84587987914,258629.59118431227,239031.95738080962,207768.6757463708,169458.6184109653,130443.62998020244,95743.37015628006,67904.33626447685,47274.58760580967,14032503.543372372,6339623.564793404,5175868.2747140275,1017707.9327999689,1283711.4423425256,718943.1849628527,1073044.2641576068,1696644.030924255,1417074.6522033429,1197525.4172130083
4,128,160,36203.24050369473,108641.38607343526,188020.72801878882,155199.86397298242,161007.28845200114,219251.17224207867,279034.04520250624,295258.04963665333,277424.1548556495,253677.10881252278,239638.9444729965,233902.32982071827,226678.58545775505,210075.1774008889,182827.1474806866,148973.2494744886,114255.05909739979,83299.30271234683,58501.56522385737,40229.948614640125,12867470.792097075,6066540.865191832,5000447.897654825,1017396.8395848471,1366914.5488140662,770924.9107566288,956630.4323414358,1373901.5361134412,1213250.7743502152,1047457.911365058
5,160,192,33639.27477309929,113987.24725474464,194908.43933109794,163157.13133955924,173652.0655117526,241240.99833655354,310303.4219557965,330731.6718359593,311731.489116215,283896.93915378733,265152.6234289044,255056.39060654218,243806.4219526477,223359.62066145963,192563.42495535503,155711.53929311672,118712.28720094675,86182.73430141453,60379.33991632915,41489.89458385747,14351672.26959691,6499791.517062429,5247052.470046717,1053774.3749214674,1303950.5519373524,715956.9117931211,968381.0145344902,1342569.9426736508,1066069.887993849,831193.42560711
6,192,224,36701.81620049861,108110.20634198457,185847.1807495367,154994.48128158317,161985.5051253497,221917.7065994519,284674.84426021547,303970.9695414551,288263.2715127734,265851.3427556632,252895.43467571025,248036.95065404737,241099.91764518674,223874.32085046737,195130.9386720727,159232.81311180163,122328.76827957277,89368.22363807734,62916.419263902666,43373.73717982394,13617599.691979531,6208968.0253803255,4983130.99246067,998644.9092414557,1326514.1709860116,829067.0550472125,1092808.3539566095,1606002.2730694977,1370712.3735400827,1103904.2972457751
7,224,256,34906.53354101304,113161.86405487267,191222.1113125241,152450.23199242633,158001.78065136887,217594.73980471364,279805.0325090164,299131.29091900535,283513.2428450505,260623.07910931433,246608.4733448332,240465.24662799112,232450.27603498468,214702.29180845115,186145.0433550265,151066.2644609692,115379.97819738333,83762.39906486687,58566.64526702074,40079.66885746252,13229663.707644137,6076278.92956072,5251686.74198609,1015793.5144574322,1316870.4284872366,764992.4951364687,1028484.6325430915,1511816.9894670649,1270573.7857212336,1054130.5462413132
8,256,288,36044.48833561485,111843.73632068251,190446.60498918206,153704.06695644135,159602.45799061767,219907.77363243775,281785.48287845653,299085.54098799406,281239.05537903967,256854.47455864743,242053.6235095281,235646.67036190632,227849.09534792206,210750.64160529093,183111.10798446313,148995.3985260965,114136.59391982481,83124.75405387962,58314.77899553509,40046.24176061239,12959668.090910522,6098939.7323324485,5165494.91054032,1020820.5586856491,1356614.0621385179,797438.6995489397,1064830.580169002,1537169.879925401,1265943.2200441742,1064271.6087731277
9,288,320,32964.72166254935,112545.8389002511,193598.1878707481,155280.71010936328,159889.7178284328,221175.63199688768,287348.64893501607,309773.82498354616,295324.44445812696,272614.8655789944,258742.19943612284,252817.9098691888,244732.29115602138,226327.8597770474,196534.70855902022,159875.56042536887,122552.36505341998,89454.41000339964,63034.72474953142,43591.489250981744,13374318.741627568,6255688.670187874,5226494.349215372,994340.9101020937,1285926.318751457,736341.0191335898,950937.5686176205,1383766.2217523071,1175334.4025686276,957813.3763930451
10,320,352,31748.418802346205,110731.09598262998,187971.99693396792,152278.99811670554,158470.42583391556,218731.17632567382,282383.4970537521,302990.1590259667,288110.6327073501,265412.62733838166,251070.92407439134,244239.19687134575,235448.95018566147,217059.79459186448,188071.61416220243,152736.84387320848,116893.75933749406,85152.27624712409,59827.60398748446,41196.87217113,12759572.071510533,5996924.835201064,5136933.126968603,982449.4782700184,1253792.4626233266,694722.3346926998,993059.5549352879,1432465.3674007265,1224281.015686772,1024085.7270600507
